Phylum_name,Subphylum_name,Class_name,Order_name,Family_name,file,Species
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asptaic1,Aspergillus taichungensis IBT 19404 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspte1,Aspergillus terreus NIH 2624
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asptr1,Aspergillus triticus CBS266.81 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asptu1,Aspergillus tubingensis v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspuda1,Aspergillus udagawae IFM 46973
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspund1_1,Aspergillus undulatus CBS 261.88 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspung1,Aspergillus unguis CBS132.55 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspuva1,Aspergillus uvarum CBS 121591 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspvad1,Aspergillus vadensis CBS 113365 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspven1,Aspergillus venezuelensis CBS 868.97 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspve1,Aspergillus versicolor v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspvio1,Aspergillus violaceofuscus CBS 115571 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspwel1,Aspergillus welwitschiae CBS139.54b v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspwe1,Aspergillus wentii v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspzo1,Aspergillus zonatus v1.0
Basidiomycota,Pucciniomycotina,Atractiellomycetes,Atractiellales,Incertae_sedis,Atrsp2,Atractiellales rhizophila v2.0
Ascomycota,Pezizomycotina,Dothideomycetes,Microthyriales,Aulographaceae,Aulhe2,Aulographum hederae v2.0
Ascomycota,Pezizomycotina,Dothideomycetes,Dothideales,Dothioraceae,Aurpu_var_mel1,Aureobasidium pullulans var. melanogenum CBS 110374
Ascomycota,Pezizomycotina,Dothideomycetes,Dothideales,Dothioraceae,Aurpu_var_nam1,Aureobasidium pullulans var. namibiae CBS 147.97
Ascomycota,Pezizomycotina,Dothideomycetes,Dothideales,Dothioraceae,Aurpu_var_pul1,Aureobasidium pullulans var. pullulans EXF-150
Ascomycota,Pezizomycotina,Dothideomycetes,Dothideales,Dothioraceae,Aurpu_var_sub1,Aureobasidium pullulans var. subglaciale EXF-2481
Basidiomycota,Agaricomycotina,Agaricomycetes,Auriculariales,Auriculariaceae,Aurde3_1,Auricularia subglabra v2.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Schizophyllaceae,Auramp1,Auriculariopsis ampla NL-1724 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Russulales,Auriscalpiaceae,Aurvu1,Auriscalpium vulgare FP105234-Sp v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Babin1,Babjeviella inositovora NRRL Y-12698 v1.0
Mucoromycota,Mucoromycotina,Incertae_sedis,Mucorales,Backusellaceae,Bacci1,Backusella circina FSU 941 v1.0
Basidiomycota,Agaricomycotina,Wallemiomycetes,Geminibasidiales,Geminibasidiaceae,Basun1,Basidioascus undulatus
Zoopagomycota,Entomophthoromycotina,Incertae_sedis,Entomophthorales,Incertae_sedis,Basme2finSC,Basidiobolus meristosporus CBS 931.73 v1.0
Chytridiomycota,Incertae_sedis,Chytridiomycetes,Rhizophydiales,Incertae_sedis,Batde5,Batrachochytrium dendrobatidis JAM81 v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Bauco1,Baudoinia compniacensis UAMH 10762 (4089826) v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Beaba1,Beauveria bassiana ARSEF 2860
Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Montagnulaceae,Bimnz1,Bimuria novae-zelandiae CBS 107.79 v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Xylariales,Xylariaceae,Bisnum1,Biscogniauxia nummularia v1.0
